dataset = celebA
experiments = /home/uzahid/workspace/QDCGAN/PyTorch/experiments
dry_run = False
log_freq = 50
export = False
resume = None
evaluate = False
fid = False
gpus = [0]
num_workers = 4
batch_size = 128
lr = 0.0002
scheduler = FIXED
epochs = 100
random_seed = None
examples = 1
size = 32
gen_ch = 64
weight_bitwidth = 32
activation_bitwidth = 32
io_bitwidth = 8
Epoch: [2/100[751/1582]	Discriminator Loss -27.9378 (-31.5675)	Generator Loss 18.0893 (12.8304)	
Epoch: [2/100[801/1582]	Discriminator Loss -33.7603 (-31.5962)	Generator Loss 19.0514 (13.0647)	
Epoch: [2/100[851/1582]	Discriminator Loss -31.5872 (-31.6174)	Generator Loss 16.5882 (12.9845)	
Epoch: [2/100[901/1582]	Discriminator Loss -34.8458 (-31.6604)	Generator Loss 22.5100 (13.0877)	
Epoch: [2/100[951/1582]	Discriminator Loss -25.0910 (-31.6319)	Generator Loss 12.0571 (13.0977)	
Epoch: [2/100[1001/1582]	Discriminator Loss -30.0431 (-31.5864)	Generator Loss 6.4439 (13.0849)	
Epoch: [2/100[1051/1582]	Discriminator Loss -32.0223 (-31.5249)	Generator Loss 3.8705 (12.9226)	
Epoch: [2/100[1101/1582]	Discriminator Loss -27.7219 (-31.5186)	Generator Loss 18.0974 (12.9571)	
Epoch: [2/100[1151/1582]	Discriminator Loss -31.2212 (-31.4550)	Generator Loss 19.3458 (12.8141)	
Epoch: [2/100[1201/1582]	Discriminator Loss -26.5408 (-31.3822)	Generator Loss 4.5860 (12.7032)	
Epoch: [2/100[1251/1582]	Discriminator Loss -27.6861 (-31.2941)	Generator Loss 2.0046 (12.6211)	
Epoch: [2/100[1301/1582]	Discriminator Loss -26.9566 (-31.2029)	Generator Loss -4.0173 (12.5542)	
Epoch: [2/100[1351/1582]	Discriminator Loss -26.5217 (-31.1043)	Generator Loss 14.8454 (12.4533)	
Epoch: [2/100[1401/1582]	Discriminator Loss -33.5715 (-31.0152)	Generator Loss 22.4242 (12.4284)	
Epoch: [2/100[1451/1582]	Discriminator Loss -26.7570 (-30.8934)	Generator Loss 19.0598 (12.3395)	
Epoch: [2/100[1501/1582]	Discriminator Loss -25.6364 (-30.7778)	Generator Loss 8.6473 (12.2526)	
Epoch: [2/100[1551/1582]	Discriminator Loss -34.6361 (-30.7324)	Generator Loss 27.8175 (12.3602)	
Epoch: [2/100[1582/1582]	Discriminator Loss -41.9552 (-30.7285)	Generator Loss 22.2446 (12.4212)	
FPS: 14579.755283648497
Image generated at /home/uzahid/workspace/QDCGAN/PyTorch/experiments/W32A32_20211008/random_results/epoch_I8W32A32.png
